,roa,pb,pe,ps,currentratio,Close,Volume,Momentum_10,12d_EMA,26d_EMA,dif,dea,MACD,RSI_7,RSI_15,K_9,D_9,J_9,OBV,VR_10,VR_30,Yesterday_Return,Daily_Return
2018-06-05,0.083,11.794,59.868,3.18,2.506,74.05,5318054.0,2.510000000000005,72.19144606001781,71.36057915615721,0.8308669038605956,0.6268061260926558,0.4081215555358795,70.71547420965052,77.38336713995939,82.29640694251286,74.2458556345417,98.39750955845517,35646048.0,0.8739176235747322,1.206697819736263,0.009453072248480687,0.002979818501964049
2018-06-06,0.083,11.794,59.868,3.18,2.506,74.75,6629831.0,2.6700000000000017,72.59025109738212,71.65089914080546,0.9393519565766582,0.6895047872653236,0.4996943386226691,67.34693877551011,76.93898655635984,86.793436586164,78.42849304597735,103.5233236665373,40574691.0,1.2583593631231935,1.2856380122909286,0.0001337792642142066,0.009453072248480687
2018-06-07,0.083,11.794,59.868,3.18,2.506,74.76,5524575.0,3.4399999999999977,72.9277690908009,71.91415965422273,1.0136094365781645,0.7544828243814468,0.5182532243934355,70.76411960132887,77.03398558187433,84.19996430795135,80.35235066168231,91.89519160048943,45892745.0,1.8939281963554406,1.3708152521064536,0.0018726591760300781,0.0001337792642142066
2018-06-08,0.083,11.794,59.868,3.18,2.506,74.9,4902812.0,3.4200000000000017,73.23403817842973,72.16433134461262,1.0697068338171078,0.8176498089863968,0.504114049661422,90.85106382978712,71.70050761421318,83.3225841105512,81.34244009564559,87.28287214036246,52522576.0,1.1558375058088612,1.2392250753290552,-0.004138851802403254,0.0018726591760300781
2018-06-11,0.083,11.794,59.868,3.18,2.506,74.59,4356496.0,2.719999999999999,73.44430268418643,72.36561363292512,1.078689051261307,0.8699385703805468,0.4175009617615204,87.81869688385255,75.98425196850397,80.02808570667051,80.90431853871888,78.27562004257376,58047151.0,1.1526783543884342,1.319216044414055,-0.004021986861509563,-0.004138851802403254
2018-06-12,0.083,11.794,59.868,3.18,2.506,74.29,4691863.0,2.3400000000000034,73.57528229934162,72.52388983832579,1.051392461015837,0.9062743299992948,0.2902362620330843,90.90909090909088,71.65562913907289,75.1340968829296,78.98090128931868,67.44048807015142,53144339.0,1.1977372266763546,1.2317743656982831,-0.002422937138242154,-0.004021986861509563
2018-06-13,0.083,11.794,59.868,3.18,2.506,74.11,4636044.0,3.3700000000000045,73.65801278526854,72.65328600378857,1.0047267814799739,0.9259843401440168,0.15748488267191418,77.81818181818184,68.67779204107836,67.59110867845348,75.18429055257305,52.40474493021435,48787843.0,1.2734702867514835,1.163261520448854,0.007961138847659033,-0.002422937138242154
2018-06-14,0.083,11.794,59.868,3.18,2.506,74.7,10976975.0,1.8799999999999955,73.81908658548242,72.81901452546585,1.0000720600165778,0.9408136330948477,0.11851685384346022,57.526881720430076,67.72151898734171,65.4660630825271,71.94487388750626,52.50844147256876,44095980.0,0.8594062283920516,1.0377964746741162,0.015261044176706928,0.007961138847659033
2018-06-15,0.083,11.794,59.868,3.18,2.506,75.84,4514628.0,2.9000000000000057,74.1312558996307,73.06195667354386,1.0692992260868408,0.9665270495071208,0.20554435315944009,64.57399103139014,69.85815602836874,76.1338603512498,73.34120486638336,81.71917132098267,48732024.0,1.412716397384345,1.024367594476039,-0.003032700421940926,0.015261044176706928
2018-06-18,0.083,11.794,59.868,3.18,2.506,75.61,7550980.0,3.0799999999999983,74.35953435942177,73.26557390678413,1.0939604526376456,0.9920266599718301,0.20386758533163096,70.41198501872653,70.89041095890406,78.87944496171582,75.18728679988781,86.26376128537183,59708999.0,1.7475499492201594,1.2492278393999627,-0.017854781113609275,-0.003032700421940926
2018-06-19,0.083,11.794,59.868,3.18,2.506,74.26,4424921.0,1.7800000000000011,74.34417701581779,73.34457854119361,0.9995984746241788,0.9935416374501751,0.012113674348007475,64.705882352941,68.83408071748872,61.58293682811106,70.65250036164555,43.443809761042075,55194371.0,1.7442745984865071,1.2411962944826163,0.006194451925666478,-0.017854781113609275
2018-06-20,0.083,11.794,59.868,3.18,2.506,74.72,5537365.0,0.21000000000000796,74.4021376165632,73.4532682598234,0.9488693567397917,0.9846042809700999,-0.07146984846061644,42.19512195121952,68.68008948545857,57.26741045503702,66.19080168336082,39.42062799838945,47643391.0,1.1008920736548176,1.070442061503482,-0.010438972162740923,0.006194451925666478
2018-06-21,0.083,11.794,59.868,3.18,2.506,73.94,9533153.0,-0.030000000000001137,74.33089216073279,73.49154178041128,0.8393503803215054,0.9555459568681337,-0.23239115309325653,51.52941176470583,65.38936959208893,43.830443448405305,58.73734666337749,14.01663701846094,52068312.0,1.0691441150502656,1.2170791303897952,-0.0068974844468486785,-0.010438972162740923
2018-06-22,0.083,11.794,59.868,3.18,2.506,73.43,9064121.0,-0.8200000000000074,74.19205037316853,73.48672448722402,0.7053258859445037,0.9054915467891594,-0.4003313216893114,46.3002114164904,62.677725118483394,31.9980710023392,49.82425296268488,-3.6542929183521693,46530947.0,1.6563230348442814,1.434749117677223,-0.014707885060602055,-0.0068974844468486785
2018-06-25,0.083,11.794,59.868,3.18,2.506,72.35,7072565.0,-1.4699999999999989,73.90823771159062,73.39811772945838,0.5101199821322382,0.8264040932005972,-0.6325682221367179,43.28063241106725,54.19274092615771,24.124367383701404,41.25762327423728,-10.142144397370359,36997794.0,0.969538851625233,1.3467604701599971,0.0029025570145129187,-0.014707885060602055
2018-06-26,0.083,11.794,59.868,3.18,2.506,72.56,7623523.0,-2.240000000000009,73.70055628703894,73.3330393145057,0.3675169725332381,0.7346144681331891,-0.734194991199902,28.82882882882874,40.74999999999999,20.707693130050774,34.40764594001207,-6.692212489871807,27933673.0,0.8549099028363893,1.1510509966148494,-0.0166758544652702,0.0029025570145129187
2018-06-27,0.083,11.794,59.868,3.18,2.506,71.35,9049992.0,-1.730000000000004,73.33854841133255,73.17960808501368,0.15894032631887,0.6194673952332909,-0.9210541378288417,14.502164502164524,40.67584480600757,15.2235681390313,28.012952954137486,-10.35520149118107,35006238.0,1.2050050912582466,1.1943633476044675,0.004905395935529189,-0.0166758544652702
2018-06-28,0.083,11.794,59.868,3.18,2.506,71.7,31423522.0,-2.760000000000005,73.08623767617632,73.06550448973881,0.020733186437510653,0.4997103656727663,-0.9579543584705112,11.964285714285726,30.000000000000032,14.123493294857377,23.383132881617275,-4.395785878662416,27382715.0,1.100401024204323,1.039188957905241,0.11129707112970721,0.004905395935529189
2018-06-29,0.083,11.794,59.868,3.18,2.506,79.68,11867131.0,-3.0,74.10143332369721,73.57404979211537,0.5273835315818332,0.5052453755478319,0.04427631206800253,22.173913043478375,32.69230769230774,38.28199110112269,28.349419087864156,58.14713512763977,36432707.0,1.231100335644168,1.036972067543373,-0.016691767068273244,0.11129707112970721
2018-07-02,0.083,11.794,59.868,3.18,2.506,78.35,5794853.0,3.8400000000000034,74.75547909145659,73.94021267695882,0.8152664144977706,0.567252959351801,0.49602691029193924,70.46204620462045,64.32853717026377,49.886809841562275,35.52854946734659,78.60333058999365,67856229.0,1.8365332982034082,1.4800618066487652,-0.026419910657306866,-0.016691767068273244
2018-07-03,0.083,11.794,59.868,3.18,2.506,76.28,6534450.0,2.739999999999995,74.99014831841885,74.11913553006978,0.8710127883490628,0.628007571387821,0.48601043392248355,67.403314917127,60.621468926553625,50.61827932779018,40.55845948073148,70.73791902190759,55989098.0,1.2600732033290543,1.2403505304210345,0.003539590980597751,-0.026419910657306866
2018-07-05,0.083,11.794,59.868,3.18,2.506,76.55,5937030.0,2.019999999999996,75.23023591798805,74.30457877189801,0.925657146090046,0.6875395607153366,0.4762351707494188,60.01405481377367,55.110426296866954,52.01963123811326,44.378850096858024,67.30119352062373,50194245.0,1.3104995556229675,1.2363455242148391,-0.0009144350097973764,0.003539590980597751
2018-07-06,0.083,11.794,59.868,3.18,2.506,76.48,4869973.0,1.8299999999999983,75.42258216704084,74.47016859720908,0.9524135698317622,0.7405158393017346,0.42379546106005517,65.6482861400894,56.23721881390592,52.716979204734514,47.15822648086173,63.834484652480086,56728695.0,1.05288297169672,1.22552298931559,0.010460251046024993,-0.0009144350097973764
2018-07-09,0.083,11.794,59.868,3.18,2.506,77.28,6280377.0,2.5400000000000063,75.70843288221903,74.68361240809409,1.0248204741249367,0.7973780343356979,0.4548848795784777,64.7590361445783,54.674369747899156,55.8891536603738,50.068535550968804,67.53038987918379,50791665.0,0.943052168017716,1.1561784825160073,0.0037525879917184035,0.010460251046024993
2018-07-10,0.083,11.794,59.868,3.18,2.506,77.57,3585410.0,3.8499999999999943,75.9949076419366,74.90245824342267,1.092449398513935,0.8563933600399383,0.4721120769479934,73.03807303807307,53.85026737967914,58.98532410573932,53.04079840955121,70.87437549811555,55661638.0,1.2820651599383017,1.1486649278373116,-0.002707232177388108,0.0037525879917184035
